id,originId,destinationId,patient,beds_type1,beds_type2,beds_type3,accepted,rejected,cancelled,referredBy,nhsNumber,age,gender,created
1,RQ8MY,R1H12,Tom R,1,0,0,0,0,0,Dr Smith,94680917,14,Male,2016-05-14T12:50:31.090Z
2,RQ8MY,R1H13,Tom R,1,0,0,0,1,0,Dr Smith,94680917,14,Male,2016-05-14T12:50:31.090Z
3,RQ8MY,RK973,Tom R,1,0,0,0,0,1,Dr Smith,94680917,14,Male,2016-05-14T12:50:31.090Z
4,RQ8MY,RQX43,Tom R,1,0,0,0,0,0,Dr Smith,94680917,14,Male,2016-05-14T12:50:31.090Z
5,RAL79,R1HM0,Adhiraj C,1,0,0,0,0,0,Dr Gibbs,41118592,11,Male,2016-05-14T14:50:31.090Z
6,RAL79,RAX57,Adhiraj C,1,0,0,0,0,0,Dr Gibbs,41118592,11,Male,2016-05-14T14:50:31.090Z
7,RAL79,R1K02,Adhiraj C,1,0,0,0,0,0,Dr Gibbs,41118592,11,Male,2016-05-14T14:50:31.090Z
8,R1K02,RAL79,Alison P,0,1,0,0,0,0,Dr Weston,98710329,15,Female,2016-05-14T22:50:31.090Z
9,R1K02,RAL16,Alison P,0,1,0,0,0,0,Dr Weston,98710329,15,Female,2016-05-14T22:50:31.090Z
10,R1K02,RQ8MY,Alison P,0,1,0,0,0,0,Dr Weston,98710329,15,Female,2016-05-14T22:50:31.090Z
11,R1K02,R1H12,Alison P,0,1,0,0,0,0,Dr Weston,98710329,15,Female,2016-05-14T22:50:31.090Z
12,R1H12,R1H13,Betty I,1,0,0,0,0,0,Dr Gibbs,79370773,11,Female,2016-05-14T14:00:31.090Z
13,R1H12,RK973,Betty I,1,0,0,0,0,0,Dr Gibbs,79370773,11,Female,2016-05-14T14:00:31.090Z
14,R1H12,RQX43,Betty I,1,0,0,0,0,0,Dr Gibbs,79370773,11,Female,2016-05-14T14:00:31.090Z
15,RQX43,R1HM0,Stewart J,0,1,0,0,0,0,Dr Smith,89644760,14,Male,2016-05-13T08:50:31.090Z
16,RQX43,RAX57,Stewart J,0,1,0,0,1,0,Dr Smith,89644760,14,Male,2016-05-13T08:50:31.090Z
17,RQX43,R1K02,Stewart J,0,1,0,0,0,1,Dr Smith,89644760,14,Male,2016-05-13T08:50:31.090Z
18,RQX43,RAL79,Stewart J,0,1,0,0,0,0,Dr Smith,89644760,14,Male,2016-05-13T08:50:31.090Z
19,RAL79,RAL16,Pastor J,0,1,0,0,0,0,Dr Gibbs,16907386,11,Male,2016-05-13T09:50:31.090Z
20,RAL79,RQ8MY,Pastor J,0,1,0,0,0,0,Dr Gibbs,16907386,11,Male,2016-05-13T09:50:31.090Z
21,RAL79,R1H12,Pastor J,0,1,0,0,0,0,Dr Gibbs,16907386,11,Male,2016-05-13T09:50:31.090Z
22,R1H12,R1H13,Ivona B,0,0,1,0,0,0,Dr Weston,97437290,15,Female,2016-05-13T10:50:31.090Z
23,R1H12,RK973,Ivona B,0,0,1,0,0,0,Dr Weston,97437290,15,Female,2016-05-13T10:50:31.090Z
24,R1H12,RQX43,Ivona B,0,0,1,0,0,0,Dr Weston,97437290,15,Female,2016-05-13T10:50:31.090Z
25,R1H12,R1HM0,Ivona B,0,0,1,0,0,0,Dr Weston,97437290,15,Female,2016-05-13T10:50:31.090Z
26,R1HM0,RAX57,Sandra L,1,0,0,0,0,0,Dr Gibbs,62997196,11,Female,2016-05-13T11:50:31.090Z
27,R1HM0,R1K02,Sandra L,1,0,0,0,0,0,Dr Gibbs,62997196,11,Female,2016-05-13T11:50:31.090Z
28,R1HM0,RAL79,Sandra L,1,0,0,0,0,0,Dr Gibbs,62997196,11,Female,2016-05-13T11:50:31.090Z
